Name,Source,Max Bounty($),Total Paid Amount($),Response Time(Mins),Languages,Product Types,Project Types,Ecosystems,Program Types,Last Updated,Hash
Olympus,Immunefi,3333333,260433,581,"Solidity","Stablecoin,Staking","Defi","ETH","Smart Contract,Websites and Applications",2023-05-30,e5835f533713d29af3f9733d2c6b764cdc44451a3c6e33bcb45b5cb0d3d423bd
Chainlink,Immunefi,3000000,0,0,"Solidity","Oracle","Infrastructure","ETH","Smart Contract,Websites and Applications",2023-02-16,c38cd80742732139f564c3a5c89d9d92202830d6fd93a295a2395113a519e674
Wormhole,Immunefi,2500000,0,0,"Solidity,Rust","DEX,Crosschain Liquidity,Lending","Blockchain,NFT","ETH,Fantom,Polygon,Solana,Terra","Smart Contract,Blockchain/DLT",2023-05-05,3fc440708115c78c066279e97c1877543cc294211d710f480fb6d2e1345d6f36
The Graph,Immunefi,2500000,749488,4336,"Solidity,Rust","Staking","Blockchain,Infrastructure","ETH,Avalanche,Fantom,Polygon,Fuse","Smart Contract,Websites and Applications,Blockchain/DLT",2023-08-05,4677c74421d63f92e1c1ee3c13ebcb23348490046688fb601d6649ef0c09c029
zkSync,Immunefi,2300000,0,0,"Rust","L2","NFT","ETH","Smart Contract,Websites and Applications,Blockchain/DLT",2023-04-04,b2fd20ef585916140e0f6aaaccc798b7246568fe41aa014e08c61cebd78525c2
Axelar Network,Immunefi,2250000,0,0,"Rust","Crosschain Liquidity,AMM","Defi,NFT","ETH,Avalanche,Fantom,Polygon","Smart Contract,Blockchain/DLT",2022-10-24,49c8a23d0d6a00bd3132c3bbb43597b817e2042f16ddd2731d6777c6dce73f20
Optimism,Immunefi,2000042,2177042,1809,"Solidity","L2,L1","Defi,NFT","ETH,Optimism","Smart Contract,Blockchain/DLT",2023-06-23,98c9360192777b182a29afef58ea577b72bf4051c113cd5c471325850d8005bb
Rhino.fi,Immunefi,2000000,0,0,"Solidity","L2","Blockchain","ETH","Smart Contract",2023-06-30,3508894f1b28aa458d97b6083129dd6cd24a91e229e4b64dca563884a3e7bfb8
EigenLayer,Immunefi,2000000,0,0,"Solidity","Staking","Infrastructure","ETH","Smart Contract,Websites and Applications",2023-07-17,bbe375264bf5fcc4be15a9c0f8cac738f8892c636565977cb2cbfac85d66b2ad
Sweat Economy,Immunefi,2000000,0,0,"Rust","Staking","Defi,NFT","","Smart Contract",2023-04-04,9fbccc49f69acbb9ca39464cbdef18bf32f8450b59a4dc6a4e849168faf900b8
Lido on Polygon,Immunefi,2000000,0,0,"Solidity","Staking","Defi","ETH","Smart Contract,Websites and Applications",2023-04-15,1ab2dc18dfb740386c2327bf4ad830a9a64c90aef18fff1f1f729f0e8b351236
Zodiac,Immunefi,2000000,0,0,"Solidity","","Defi","ETH","Smart Contract",2022-10-31,07324f5bb38b676ff576ddb0ee3ba8896e38665d6853d022431c635a2d04886c
Gnosis Chain,Immunefi,2000000,25000,5344,"Solidity","Stablecoin,Staking,Crosschain Liquidity,Wallet","Defi","ETH,BSC","Smart Contract",2022-10-13,38da8d7822fe8bb406770b3b344709aaf3e76c00c5675815244a8f76c8e6abe0
Celer,Immunefi,2000000,167000,2165,"Solidity","Crosschain Liquidity,L1,Wallet","Blockchain,Defi,NFT","ETH,Avalanche,Polygon,BSC,Arbitrum","Smart Contract,Websites and Applications",2022-10-13,3162df5fe7eb22c206ae1a557fb767d970609ed9ceec691f5a51b771e4f4cd7f
Lido on Solana,Immunefi,2000000,0,0,"Rust","Staking","Defi","Solana","Smart Contract,Websites and Applications",2023-04-15,cdbad6cb12ead514e8e976b28fe099d2b24c77ff1d0cddb5cb9fe24dcc53f8d4
Lido,Immunefi,2000000,0,0,"Solidity","Staking","Defi","ETH","Smart Contract,Websites and Applications",2023-05-15,9dec6c9907e24bf373ecfd4fcf21c11ee029886775b56986ac83b80874a88d41
Spool,Immunefi,1500000,0,0,"Solidity","Yield Aggregator","Defi","ETH","Smart Contract",2023-03-17,98583643daf47a3e674788ca7bc6bb0809ad08d5a18f71d5df6c56169fa72908
DeGate,Immunefi,1110000,500,2718,"Solidity","Asset Management,DEX,L2","Defi,Exchange","ETH","Smart Contract,Websites and Applications",2023-04-07,0425b7ace0b436b57557252353fbcb2b406f5d80a6e716d8da3c4b3c71366fe4
zkSync Era,Immunefi,1100000,0,489,"Solidity","L2","Blockchain","ETH","Smart Contract,Websites and Applications",2023-04-11,7343a03203fe9a48aceca47f71ac585c51d24c22bae69926dfbc85aba59a765f
Reserve,Immunefi,5000000,0,595,"Solidity","Stablecoin,Synthetic Assets,Oracle,Asset Management,Bug bounty","Defi","ETH","Smart Contract",2023-05-01,fdda1595cc54e2ad63663423ce4f6f06b4e07bdd302fa98854e23e74ec935208
GMX,Immunefi,5000000,0,0,"Solidity","DEX,Perpetuals","Defi","ETH,Avalanche","Smart Contract,Websites and Applications",2023-08-05,4068e8440896b1c176a540f1750a11fd2c1ab067676c96b6d77d4684cdd0fb25
